RBP	Metric	Kipoi	MultiTask	SetA	SingleTask	Correlation	Observed intensities	DeepBind	MatrixREDUCE	Ray et al.
RNCMPT00051	E-scores	0.4387949784403054	0.5407748229903587	0.5327451703003947	0.4062890243529964	Pearson	0.536	0.469	-0.01	0.411
RNCMPT00051	Intensities	0.172813326417381	0.2501107794155277		0.1733847500072392	Pearson		0.152	0.004	0.095
RNCMPT00051	Z-scores	0.4750671071349757	0.6123325929479647	0.5578303074535365	0.4916090478739249	Pearson	0.558	0.417	-0.018	0.321
RNCMPT00052	AUCs		0.8251840970484416	0.9123326186973992	0.7736906145202928	Pearson	0.912	0.794	0.771	0.707
RNCMPT00052	E-scores		0.8328507837302335	0.8760522911686248	0.8266150984646506	Pearson	0.871	0.813	0.842	0.646
RNCMPT00052	Intensities		0.4938766719532111		0.4471402752821223	Pearson		0.451	0.416	0.192
RNCMPT00052	Z-scores		0.7582826002088073	0.935274399550302	0.7869245783753058	Pearson	0.935	0.827	0.819	0.445
RNCMPT00053	AUCs	0.922891531976791	0.8828925431360863	0.92735029209143	0.9148937179530252	Pearson	0.924	0.899	0.916	0.618
RNCMPT00053	E-scores	0.9266913352280728	0.8689286757361414	0.9165656573418176	0.9208525855188696	Pearson	0.917	0.915	0.924	0.64
RNCMPT00053	Intensities	0.5856665201076336	0.529376813151018		0.6128551606473891	Pearson		0.569	0.543	0.297
RNCMPT00053	Z-scores	0.8969541872541723	0.8412194819500819	0.910662245233812	0.8522078555098812	Pearson	0.911	0.849	0.887	0.282
RNCMPT00054	AUCs	0.8975656960798983	0.8830213512065572	0.8769315754020246	0.9061104175371104	Pearson	0.873	0.898	0.886	0.445
RNCMPT00054	E-scores	0.9046023160545216	0.8768810439135252	0.8730463975608779	0.9079261201572312	Pearson	0.873	0.895	0.899	0.46
RNCMPT00054	Intensities	0.5579252875592076	0.5732820048973162		0.5617755858877157	Pearson		0.496	0.51	0.222
RNCMPT00054	Z-scores	0.8510728795330003	0.8438316701129261	0.8566780171718639	0.8563887569721333	Pearson	0.857	0.86	0.866	0.339
RNCMPT00055	AUCs	0.9612150994076428	0.954086455706495	0.9585533215377712	0.9614656499210704	Pearson	0.959	0.959	0.965	0.832
RNCMPT00055	E-scores	0.963962872969273	0.946808534719744	0.94408383216043	0.9624112715852472	Pearson	0.944	0.964	0.965	0.852
RNCMPT00055	Intensities	0.5800015396026351	0.5447851854924913		0.5601427904175024	Pearson		0.479	0.475	0.198
